group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,20,COVER_𝛂_50,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,20,COVER_𝛂_50,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,20,COVER_𝛂_50,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,20,COVER_𝛂_50,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,20,COVER_𝛂_50,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,20,COVER_𝛂_50,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,20,COVER_𝛂_50,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,20,COVER_𝛂_100,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,20,COVER_𝛂_100,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,20,COVER_𝛂_100,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,20,COVER_𝛂_100,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,20,COVER_𝛂_100,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,20,COVER_𝛂_100,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,20,COVER_𝛂_100,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,20,COVER_𝛂_100,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,20,COVER_𝛂_100,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,20,COVER_𝛂_200,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,20,COVER_𝛂_200,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,20,COVER_𝛂_200,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,20,COVER_𝛂_200,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,20,COVER_𝛂_200,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,20,COVER_𝛂_200,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,20,COVER_𝛂_200,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,20,COVER_𝛂_200,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,20,COVER_𝛂_200,10.0
switzerland_2000's,australia_2000's,0.0058268590455049,0.0102364984115778,8.979261778563341e-12,15,TRAD_BY,10.0
brazil_2000's,netherlands_80's,0.0091564927857935,0.0120014119308153,2.9331093109874467e-11,15,TRAD_BY,10.0
netherlands,australia_80's,0.016093229744728,0.015884221673138,1.5926737706450922e-10,15,TRAD_BY,10.0
brazil_2000's,france_2000's,0.016093229744728,0.0250617719731733,5.95082205734343e-10,15,TRAD_BY,10.0
austria,portugal_2000's,0.021920088790233,0.0356512530885986,1.3284938704671843e-09,15,TRAD_BY,10.0
finland_2000's,spain_90's,0.0269145394006659,0.0441228379809389,1.5722627644265683e-09,15,TRAD_BY,10.0
switzerland_90's,united kingdom_90's,0.0310765815760266,0.0720084715848923,9.044063498109269e-09,15,TRAD_BY,10.0
70's,france_90's,0.0435627081021087,0.0758912813272149,4.3246482839265365e-07,15,TRAD_BY,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,15,TRAD_BY,10.0
belgium,netherlands_80's,0.045227524972253,0.0765972467349099,0.0001544841387856,15,TRAD_BY,10.0
usa_50's,netherlands_80's,0.0493895671476137,0.0765972467349099,0.0002162196689934,15,TRAD_BY,10.0
50's,netherlands_80's,0.0496670366259711,0.0765972467349099,0.0002701122527082,15,TRAD_BY,10.0
france_80's,switzerland,0.0524417314095449,0.0811860218849276,0.0003469885284397,15,TRAD_BY,10.0
50's,australia_2000's,0.0524417314095449,0.0811860218849276,0.0009571242762771,15,TRAD_BY,10.0
china_2000's,usa_60's,0.0535516093229744,0.0903635721849629,0.0016776668612039,15,TRAD_BY,10.0
switzerland_2000's,australia_2000's,0.0058268590455049,0.0102364984115778,8.979261778563341e-12,15,TRAD_BN,10.0
brazil_2000's,netherlands_80's,0.0091564927857935,0.0120014119308153,2.9331093109874467e-11,15,TRAD_BN,10.0
netherlands,australia_80's,0.016093229744728,0.015884221673138,1.5926737706450922e-10,15,TRAD_BN,10.0
brazil_2000's,france_2000's,0.016093229744728,0.0250617719731733,5.95082205734343e-10,15,TRAD_BN,10.0
austria,portugal_2000's,0.021920088790233,0.0356512530885986,1.3284938704671843e-09,15,TRAD_BN,10.0
finland_2000's,spain_90's,0.0269145394006659,0.0441228379809389,1.5722627644265683e-09,15,TRAD_BN,10.0
switzerland_90's,united kingdom_90's,0.0310765815760266,0.0720084715848923,9.044063498109269e-09,15,TRAD_BN,10.0
70's,france_90's,0.0435627081021087,0.0758912813272149,4.3246482839265365e-07,15,TRAD_BN,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,15,TRAD_BN,10.0
belgium,netherlands_80's,0.045227524972253,0.0765972467349099,0.0001544841387856,15,TRAD_BN,10.0
usa_50's,netherlands_80's,0.0493895671476137,0.0765972467349099,0.0002162196689934,15,TRAD_BN,10.0
50's,netherlands_80's,0.0496670366259711,0.0765972467349099,0.0002701122527082,15,TRAD_BN,10.0
france_80's,switzerland,0.0524417314095449,0.0811860218849276,0.0003469885284397,15,TRAD_BN,10.0
50's,australia_2000's,0.0524417314095449,0.0811860218849276,0.0009571242762771,15,TRAD_BN,10.0
china_2000's,usa_60's,0.0535516093229744,0.0903635721849629,0.0016776668612039,15,TRAD_BN,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,15,COVER_G_BY,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,15,COVER_G_BY,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,15,COVER_G_BY,10.0
50's,australia_2000's,0.0288568257491675,0.0557712672079068,0.0009571242762771,15,COVER_G_BY,10.0
finland_2000's,spain_90's,0.033573806881243,0.064242852100247,1.5722627644265683e-09,15,COVER_G_BY,10.0
netherlands,australia_80's,0.0405105438401775,0.0681256618425697,1.5926737706450922e-10,15,COVER_G_BY,10.0
china_2000's,usa_60's,0.0416204217536071,0.077303212142605,0.0016776668612039,15,COVER_G_BY,10.0
brazil_2000's,france_2000's,0.0449500554938956,0.0833039181080127,5.95082205734343e-10,15,COVER_G_BY,10.0
france_80's,switzerland,0.0477247502774694,0.0878926932580303,0.0003469885284397,15,COVER_G_BY,10.0
switzerland_2000's,australia_2000's,0.0518867924528301,0.0878926932580303,8.979261778563341e-12,15,COVER_G_BY,10.0
belgium,netherlands_80's,0.0535516093229744,0.0896576067772679,0.0001544841387856,15,COVER_G_BY,10.0
brazil_2000's,china,0.0535516093229744,0.0903635721849629,9.444609728737064e-07,15,COVER_G_BY,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,15,COVER_G_BN,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,15,COVER_G_BN,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,15,COVER_G_BN,10.0
50's,australia_2000's,0.0288568257491675,0.0557712672079068,0.0009571242762771,15,COVER_G_BN,10.0
finland_2000's,spain_90's,0.033573806881243,0.064242852100247,1.5722627644265683e-09,15,COVER_G_BN,10.0
netherlands,australia_80's,0.0405105438401775,0.0681256618425697,1.5926737706450922e-10,15,COVER_G_BN,10.0
china_2000's,usa_60's,0.0416204217536071,0.077303212142605,0.0016776668612039,15,COVER_G_BN,10.0
brazil_2000's,france_2000's,0.0449500554938956,0.0833039181080127,5.95082205734343e-10,15,COVER_G_BN,10.0
france_80's,switzerland,0.0477247502774694,0.0878926932580303,0.0003469885284397,15,COVER_G_BN,10.0
switzerland_2000's,australia_2000's,0.0518867924528301,0.0878926932580303,8.979261778563341e-12,15,COVER_G_BN,10.0
belgium,netherlands_80's,0.0535516093229744,0.0896576067772679,0.0001544841387856,15,COVER_G_BN,10.0
brazil_2000's,china,0.0535516093229744,0.0903635721849629,9.444609728737064e-07,15,COVER_G_BN,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,15,COVER_𝛂_20,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,15,COVER_𝛂_20,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,15,COVER_𝛂_20,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,15,COVER_𝛂_20,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,15,COVER_𝛂_20,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,15,COVER_𝛂_20,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,15,COVER_𝛂_20,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,15,COVER_𝛂_20,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,15,COVER_𝛂_20,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,15,COVER_𝛂_50,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,15,COVER_𝛂_50,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,15,COVER_𝛂_50,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,15,COVER_𝛂_50,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,15,COVER_𝛂_50,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,15,COVER_𝛂_50,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,15,COVER_𝛂_50,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,15,COVER_𝛂_50,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,15,COVER_𝛂_50,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,15,COVER_𝛂_100,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,15,COVER_𝛂_100,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,15,COVER_𝛂_100,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,15,COVER_𝛂_100,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,15,COVER_𝛂_100,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,15,COVER_𝛂_100,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,15,COVER_𝛂_100,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,15,COVER_𝛂_100,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,15,COVER_𝛂_100,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,15,COVER_𝛂_200,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,15,COVER_𝛂_200,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,15,COVER_𝛂_200,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,15,COVER_𝛂_200,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,15,COVER_𝛂_200,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,15,COVER_𝛂_200,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,15,COVER_𝛂_200,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,15,COVER_𝛂_200,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,15,COVER_𝛂_200,10.0
switzerland_2000's,australia_2000's,0.0058268590455049,0.0102364984115778,8.979261778563341e-12,10,TRAD_BY,10.0
brazil_2000's,netherlands_80's,0.0091564927857935,0.0120014119308153,2.9331093109874467e-11,10,TRAD_BY,10.0
netherlands,australia_80's,0.016093229744728,0.015884221673138,1.5926737706450922e-10,10,TRAD_BY,10.0
brazil_2000's,france_2000's,0.016093229744728,0.0250617719731733,5.95082205734343e-10,10,TRAD_BY,10.0
austria,portugal_2000's,0.021920088790233,0.0356512530885986,1.3284938704671843e-09,10,TRAD_BY,10.0
finland_2000's,spain_90's,0.0269145394006659,0.0441228379809389,1.5722627644265683e-09,10,TRAD_BY,10.0
switzerland_90's,united kingdom_90's,0.0310765815760266,0.0720084715848923,9.044063498109269e-09,10,TRAD_BY,10.0
70's,france_90's,0.0435627081021087,0.0758912813272149,4.3246482839265365e-07,10,TRAD_BY,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,10,TRAD_BY,10.0
belgium,netherlands_80's,0.045227524972253,0.0765972467349099,0.0001544841387856,10,TRAD_BY,10.0
switzerland_2000's,australia_2000's,0.0058268590455049,0.0102364984115778,8.979261778563341e-12,10,TRAD_BN,10.0
brazil_2000's,netherlands_80's,0.0091564927857935,0.0120014119308153,2.9331093109874467e-11,10,TRAD_BN,10.0
netherlands,australia_80's,0.016093229744728,0.015884221673138,1.5926737706450922e-10,10,TRAD_BN,10.0
brazil_2000's,france_2000's,0.016093229744728,0.0250617719731733,5.95082205734343e-10,10,TRAD_BN,10.0
austria,portugal_2000's,0.021920088790233,0.0356512530885986,1.3284938704671843e-09,10,TRAD_BN,10.0
finland_2000's,spain_90's,0.0269145394006659,0.0441228379809389,1.5722627644265683e-09,10,TRAD_BN,10.0
switzerland_90's,united kingdom_90's,0.0310765815760266,0.0720084715848923,9.044063498109269e-09,10,TRAD_BN,10.0
70's,france_90's,0.0435627081021087,0.0758912813272149,4.3246482839265365e-07,10,TRAD_BN,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,10,TRAD_BN,10.0
belgium,netherlands_80's,0.045227524972253,0.0765972467349099,0.0001544841387856,10,TRAD_BN,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,10,COVER_G_BY,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,10,COVER_G_BY,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,10,COVER_G_BY,10.0
50's,australia_2000's,0.0288568257491675,0.0557712672079068,0.0009571242762771,10,COVER_G_BY,10.0
finland_2000's,spain_90's,0.033573806881243,0.064242852100247,1.5722627644265683e-09,10,COVER_G_BY,10.0
netherlands,australia_80's,0.0405105438401775,0.0681256618425697,1.5926737706450922e-10,10,COVER_G_BY,10.0
china_2000's,usa_60's,0.0416204217536071,0.077303212142605,0.0016776668612039,10,COVER_G_BY,10.0
brazil_2000's,france_2000's,0.0449500554938956,0.0833039181080127,5.95082205734343e-10,10,COVER_G_BY,10.0
france_80's,switzerland,0.0477247502774694,0.0878926932580303,0.0003469885284397,10,COVER_G_BY,10.0
switzerland_2000's,australia_2000's,0.0518867924528301,0.0878926932580303,8.979261778563341e-12,10,COVER_G_BY,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,10,COVER_G_BN,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,10,COVER_G_BN,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,10,COVER_G_BN,10.0
50's,australia_2000's,0.0288568257491675,0.0557712672079068,0.0009571242762771,10,COVER_G_BN,10.0
finland_2000's,spain_90's,0.033573806881243,0.064242852100247,1.5722627644265683e-09,10,COVER_G_BN,10.0
netherlands,australia_80's,0.0405105438401775,0.0681256618425697,1.5926737706450922e-10,10,COVER_G_BN,10.0
china_2000's,usa_60's,0.0416204217536071,0.077303212142605,0.0016776668612039,10,COVER_G_BN,10.0
brazil_2000's,france_2000's,0.0449500554938956,0.0833039181080127,5.95082205734343e-10,10,COVER_G_BN,10.0
france_80's,switzerland,0.0477247502774694,0.0878926932580303,0.0003469885284397,10,COVER_G_BN,10.0
switzerland_2000's,australia_2000's,0.0518867924528301,0.0878926932580303,8.979261778563341e-12,10,COVER_G_BN,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,10,COVER_𝛂_20,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,10,COVER_𝛂_20,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,10,COVER_𝛂_20,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,10,COVER_𝛂_20,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,10,COVER_𝛂_20,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,10,COVER_𝛂_20,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,10,COVER_𝛂_20,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,10,COVER_𝛂_20,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,10,COVER_𝛂_20,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,10,COVER_𝛂_50,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,10,COVER_𝛂_50,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,10,COVER_𝛂_50,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,10,COVER_𝛂_50,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,10,COVER_𝛂_50,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,10,COVER_𝛂_50,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,10,COVER_𝛂_50,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,10,COVER_𝛂_50,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,10,COVER_𝛂_50,10.0
switzerland_90's,united kingdom_90's,0.0058268590455049,0.0278856336039534,9.044063498109269e-09,10,COVER_𝛂_100,10.0
70's,france_90's,0.0185904550499445,0.0349452876809036,4.3246482839265365e-07,10,COVER_𝛂_100,10.0
austria,portugal_2000's,0.0244173140954495,0.0455347687963289,1.3284938704671843e-09,10,COVER_𝛂_100,10.0
switzerland_2000's,australia_2000's,0.0285793562708102,0.0557712672079068,8.979261778563341e-12,10,COVER_𝛂_100,10.0
finland_2000's,spain_90's,0.0332963374028856,0.064242852100247,1.5722627644265683e-09,10,COVER_𝛂_100,10.0
netherlands,australia_80's,0.0402330743618202,0.0681256618425697,1.5926737706450922e-10,10,COVER_𝛂_100,10.0
brazil_2000's,france_2000's,0.0435627081021087,0.0741263678079774,5.95082205734343e-10,10,COVER_𝛂_100,10.0
brazil_2000's,netherlands_80's,0.0435627081021087,0.0758912813272149,2.9331093109874467e-11,10,COVER_𝛂_100,10.0
brazil_2000's,china,0.0435627081021087,0.0765972467349099,9.444609728737064e-07,10,COVER_𝛂_100,10.0
